segment_id,UK_2021_Viacheslav_Stelmakh_Kolhosp_tvaryn,UK_1991_Oleksii_Drozdovskyi_Skotoferma,UK_1992_Natalia_Okolitenko_Skotokhutir,UK_1991_Yurii_Shevchuk_Ferma_rai_dlia_tvaryn,UK_1984_Iryna_Dybko_Khutir_tvaryn,UK_2020_Bohdana_Nosenok_Kolhosp_tvaryn,EN_1945_George_Orwell_Animal_Farm,UK_1947_Ivan_Cherniatynskyi_Kolhosp_tvaryn,lapa_translations_combine
0,Колгосп тварин,Скотоферма,Скотохутір,ФЕРМА «РАЙ ДЛЯ ТВАРИН»,Хутір тварин,Колгосп тварин,Animal Farm,Колгосп тварин,Ферма тварин
1,РОЗДІЛ 1,1,Розділ 1,Розділ І,I,1,Chapter I,РОЗДІЛ ПЕРШИЙ.,Розділ I
2,"Пан Джонс, господар ферми «Маєток», позачиняв на ніч курники, однак на п’яну голову зовсім забув позатуляти ще й лази для молодняку.","Пан Джоунс, хазяїн ферми «Статок», як завжди, позамикав на ніч усі курники, та сп’яну забув позачиняти й лази.","Містер Джонс з ферми «Садиба» замкнув на ніч курник, проте, добряче напившись, забув позатуляти дірки в стіні.","Містер Джонс із ферми «Садиба» позачиняв на ніч курятники, але з перепою зовсім забув про кормушки.","Зближалась темна ніч. Власник Панського хутора Романов позачиняв двері курників, але тому, що був у нетверезому стані, не прикрив як слід тих щілин, крізь які пролазили кури.","Містер Джонс, власник ферми «Садиба», зачинив курники на ніч, а лази до них прикрити забув — сильне сп’яніння давалося взнаки.","Mr. Jones, of the Manor Farm, had locked the hen-houses for the night, but was too drunk to remember to shut the pop-holes.","ПАН Джонс, власник хутора «Дідівщина», позачиняв на ніч курники, та був занадто на підпитках, щоб не забути також закрити і дірки, кудою вилазили кури.","Містер Джонс, господар ферми «Маєток», замкнув курники на ніч, але був надто п’яний, щоб згадати закрити лази."
3,"Метляючи ліхтарем, що кидав на землю миготливу пляму світла, він, хитаючись, перейшов через двір, поскидав чоботи біля чорного ходу, націдив собі останній кухоль пива з барила в коморі та попростував до ліжка, де вже хропла пані Джонс.","Ліхтар у його руці танцював соняшником на вітрі, відкидаючи туди й сюди жовтий сніп світла, коли він плентався через подвір’я до чорного ходу садиби, де, скинувши на порозі чоботи з ніг, зачерпнув у сінях ще одну кварту пива з барила, останню того дня, і почалапав сходами на другий поверх, до спальні, в якій вже давала хропака пані Джоунс.","Садонувши ногою затильні двері, він прохилитався через двір, силкуючись переступити через світляне коло від ліхтаря, що витанцьовував у його руці; на кухні вицідив собі з діжечки рештки пива й вклався в ліжко, де вже похропувала місіс Джонс.","З ліхтарем у руці, що метлявся й кидав на землю стриботливу пляму світла, він, заточуючись, перетнув подвір'я, роззувся біля надвірних дверей, тоді зачерпнув останній сьогодні кухоль пива з барила в коморі й поволікся до ліжка, де вже хропла місіс Джонс.","Поглянувши на стодоли й стайні, прямував не дуже то стійким кроком у сторону дому. В парі з ходою Романова світло з лямпи, що її держав Романов у руці, витанцьовувало на всі усюди стежок. Перед дверима свого дому Романов скинув чоботи і зайшов до кімнати, де стояла бочка з пивом, наливши собі з неї склянку по самі вінця, випив і почвалав до спальні, де в ліжку вже смачно хропла його дружина.","Пляма світла від ліхтаря, витанцьовуючи в такт хиткій хазяйській ході, вихоплювала з темряви звивистий шлях чоловіка, що лежав через увесь двір. Роззувшись біля дверей заднього ґанку, він пожбурив у куток чоботи, і, перехиливши на кухні останній на сьогодні кухоль пива, дістався нарешті ліжка, де давно вже хропіла місіс Джонс.","With the ring of light from his lantern dancing from side to side, he lurched across the yard, kicked off his boots at the back door, drew himself a last glass of beer from the barrel in the scullery, and made his way up to bed, where Mrs. Jones was already snoring.","Круг світла, який кидала ліхтарня пана Джонса, танцював з кінця в кінець, коли він похитуючись проходив подвір'ям. Хвицнувши раз — другий, він скинув черевики біля заднього входу, хильнув останню склянку пива з бочки, що стояла в посудній і попрямував у ліжко, звідки вже роздавалось смачне хропіння пані Джонс.","З мерехтінням світла від його ліхтаря, що танцювало з боку в бік, він похитнувся через двір, скинув черевики біля задніх дверей, налив собі останню склянку пива з бочки в коморі та попрямував до ліжка, де пані Джонс вже хропіла."
4,"Щойно світло у вікнах спальні згасло, по всіх будівлях на фермі щось заворушилося й зашаруділо.","Щойно у спальні погасло світло, як по всіх господарських будівлях ферми прокотилася хвиля гомону й метушні.","Вікно відпочивальні згасло, й тієї ж миті на фермі зчинився рейвах.","Щойно в хазяйській спальні погасло світло, як по будівлях все заворушилося й зашамотіло.","Як лише у спальні Романова світло згасло, в усіх приміщеннях тварин учинилась метушня, лопотіння, гамір.","Тільки-но світло у вікні спальні погасло, у хлівах одразу відновився рух, заляскали крила.",As soon as the light in the bedroom went out there was a stirring and a fluttering all through the farm buildings.,"Як тільки світло у спальні погасло, по всьому обійстю почалася метушня та лопотіння.","Як тільки світло в спальні згасло, у всіх господарських будівлях почався рух і шелест."
5,"Ще вдень ферму облетіли чутки про те, що старому Майорові, породистому білому кабанові, вночі наснився дивний сон, який він хотів переповісти іншим тваринам.","Ще зранку тут пройшла чутка, що минулої ночі старий Мер, йоркширський кнур — призер середньої білої породи, бачив дивний сон і хоче розповісти про нього своїм чотириногим землякам.","Зранку ходили чутки, що старий Майор, призовий кнур з Мідлуайта, минулої ночі бачив дивний сон і хоче повідати його іншим.","Ще завидна прокотилася новина, що минулої ночі старому Майору — білому породистому кнурові, привидівся чудернацький сон, і його він волів чимшвидше повідати мешканцям ферми.","Бо ще вдень розійшлась вістка, що старий кабан Марков, поважаний всіма тваринами, мав дивний сон і бажає розказати всім.","Ще зранку мешканці ферми переказували одне одному новину, що минулої ночі старий Майор, племінний білий кнур, бачив дивний сон, про який він обов’язково хоче розповісти всім.","Word had gone round during the day that old Major, the prize Middle White boar, had had a strange dream on the previous night and wished to communicate it to the other animals.","Ще в день розійшлася чутка про те, що старому Маркові, премійованому кнурові середньої білої породи, останньої ночі приснився дивний сон, та що він бажає розповісти про нього іншим тваринам.","По селі поширилася чутка, що старий Майор, призовий білий кабан, мав дивний сон минулої ночі і хоче поділитися ним з іншими тваринами."
6,"Усі вирішили зустрітися у великому хліві, як тільки пан Джонс забереться подалі.","Потайки було домовлено, що всі вони зберуться у великому хліві, як тільки згине з очей пан господар.","Усі домовилися зібратися у великій стодолі, щойно містер Джонс згине з очей.","Вирішили зібратися у великому хліві, як тільки містер Джонс вгомониться на ніч.","Виглядало щось важливе, тимто й вирішили одноголосно, що негайно зійдуться в стайні, як тільки Романов піде спати.","Домовилися зібратися у великому хліві, щойно містер Джонс вкладеться спати.",It had been agreed that they should all meet in the big barn as soon as Mr. Jones was safely out of the way.,"Усі домовились зібратися в великій клуні, як тільки пан Джонс зовсім зникне з обрію.","Було домовлено, що вони всі зустрінуться у великому сараї, як тільки містер Джонс буде в безпеці."
7,"Старого Майора (так його називали усі, хоча на виставках його показували під іменем Вілінґдонський Красень) так поважали на фермі, що всі були ладні пожертвувати годиною свого сну, аби лише почути, що він скаже.","Кнур Мер, більш відомий людям під його призовим прізвиськом Красунь Округи, користався на фермі такою пошаною, що жодна твариняча душа не відмовилася пожертвувати якоюсь годиною, аби лиш почути його бесіду, й усі потяглися на збори.","Старий Майор (так його звали, хоч на ярмарках представляли під іменем Краса Уїлінгтона) зажив на фермі такої поваги, що тварини без вагань згодилися пожертвувати годиною сну, аби почути його оповідь.","Старий Майор (так його зазвичай називали, хоч на всіляких виставках він проходив як Уїллінгдонський Красень) зажив на фермі такої шани, що кожен ладен був не пошкодувати й години сну, аби тільки почути про його незвичайний сон.","А тому, що Марков був не в абиякій пошані в кожної тварини, погодились і не спати, щоби почути слова Маркова.","Старий Майор — так зазвичай його кликали на фермі, хоч на виставках він був відомий як Віллінгдонський Красень — зажив такої шани, що жодна тварина не пошкодувала годину сну, щоб почути пророчу розповідь.","Old Major (so he was always called, though the name under which he had been exhibited was Willingdon Beauty) was so highly regarded on the farm that everyone was quite ready to lose an hour’s sleep in order to hear what he had to say.","Старого Марка (так його завжди всі називали, хоч на виставці виступав він під іменем «Краса Вілінгдону») так глибоко поважали на хуторі, що кожна тварина радо погодилася втратити годину сну, аби тільки почути його слова.","Старий Майор (так його завжди називали, хоча ім'я, під яким його виставляли, було Віллінгдон Б'юті) був настільки високо шанований на фермі, що всі були готові втратити годину сну, щоб почути, що він має сказати."
8,"На платформі, що займала частину великого хліва, уже вмостився на солом’яній підстилці Майор, осяяний світлом ліхтаря, почепленого на балку.","Сидячи на своїй солом’яній підстилці в дальньому кінці хліва на помості під підвішеним до крокви ліхтарем, на них уже чекав сам Мер.","Майор чекав, як завжди, затишно влаштувавшись на своїй солом’яній підстилці, на узвишші в кінці стодоли під ліхтарем, що звисав із сволока.","У кутку хліва, де було невеличке підвищення, на свіжій солом'яній підстилці вже лежав Майор і дожидався, поки всі зберуться; над ним із бантини звисав ліхтар.","На підвищенні, під стіною стодоли, вигідно примостивсь на соломі Марков і чекав на прихід тварин.","Усі мешканці ферми, які поспішали на велике зібрання, переступивши поріг хліву, найперше бачили Майора. Він лежав біля стіни, на високому солом’яному ложі, немов на трибуні. Світло від ліхтаря, що звисав з балки, падало прямо на нього.","At one end of the big barn, on a sort of raised platform, Major was already ensconced on his bed of straw, under a lantern which hung from a beam.","В одному кінці великої клуні, ніби на підвищеному помості, лежав уже майор. Він вигідно розташувався на підстеленій соломі, під ліхтарнею, що звисала зі сволока.","На одному кінці великого хліва, на своєрідній піднесеній платформі, Майор вже був влаштований на своєму ліжку з соломи, під ліхтарем, який висів з балки."
9,"Майорові було дванадцять років; за останній час він значно погладшав, однак і досі не втратив своєї кнурячої величі та мудрого й великодушного виразу писка — навіть попри те, що ніхто й ніколи не підрізав йому ікол.","Після того як йому минуло дванадцять, він почав на очах набирати в тілі, що однак не заважало йому зберігати свій звичайний вигляд, мудрий і доброзичливий водночас, попри той факт, що йому зроду не спилювали ікол.","Він мав уже дванадцять років, був ширший, як довший, проте лишався тим самим благородним кабаном з притаманним йому виразом мудрості й доброзичливості, який не збавляли навіть страхітливі ікла.","Майорові було дванадцять років, останнім часом він помітно погладшав, проте ще не зовсім утратив свою свинячу велич, мудру й зичливу водночас, хоч йому так і не видалили ікол.","Хоча він вже двадцятлітній, товстенький, та все ж таки риси колишньої краси й маєстатичности були ще в нього наочні. Задуманий вираз обличчя говорив про непересічний розум.","Майору було вже дванадцять років, і останнім часом він став трохи неповоротким, проте не втратив величного вигляду, мудрого й доброзичливого — попри те, що ікла йому так і не видалили.","He was twelve years old and had lately grown rather stout, but he was still a majestic-looking pig, with a wise and benevolent appearance in spite of the fact that his tushes had never been cut.","Було йому дванадцять років і за останній час він дуже потовщав, та все ж був ще свинею величньої постави, з розумним та доброзичливим виглядом, не зважаючи на те, що йому ніколи не спилювали іклів.","Йому було дванадцять років, і він останнім часом трохи поправився, але він все ще виглядав велично, з мудрим і доброзичливим виглядом, незважаючи на те, що його ікла ніколи не обрізали."
